28.11.2022;2.1
27.11.2022;2.3
26.11.2022;2.7
25.11.2022;2.7
24.11.2022;3.2
23.11.2022;4.4
22.11.2022;4.7
21.11.2022;4.6
20.11.2022;5.0
19.11.2022;5.6
18.11.2022;6.4
17.11.2022;6.4
16.11.2022;6.8
15.11.2022;7.8
14.11.2022;6.8
13.11.2022;7.2
12.11.2022;7.7
11.11.2022;7.5
10.11.2022;7.1
09.11.2022;6.9
08.11.2022;7.2
07.11.2022;7.1
06.11.2022;6.4
05.11.2022;6.9
04.11.2022;7.2
03.11.2022;7.5
02.11.2022;7.6
01.11.2022;7.9
31.10.2022;7.3
30.10.2022;8.4
29.10.2022;9.5
28.10.2022;9.1
27.10.2022;8.6
26.10.2022;8.9
25.10.2022;9.4
24.10.2022;9.5
23.10.2022;9.7
22.10.2022;10.1
21.10.2022;10.5
20.10.2022;10.7
19.10.2022;10.7
18.10.2022;10.6
17.10.2022;10.7
16.10.2022;10.7
15.10.2022;10.9
14.10.2022;10.9
13.10.2022;10.6
12.10.2022;11.0
11.10.2022;11.5
10.10.2022;11.2
09.10.2022;11.2
08.10.2022;11.6
07.10.2022;11.1
06.10.2022;11.9
05.10.2022;11.6
04.10.2022;11.6
03.10.2022;11.9
02.10.2022;12.5
01.10.2022;13.3
30.09.2022;12.4
29.09.2022;12.5
28.09.2022;12.9
27.09.2022;12.9
26.09.2022;13.5
25.09.2022;13.1
24.09.2022;13.7
23.09.2022;13.6
22.09.2022;14.0
21.09.2022;14.7
20.09.2022;14.1
19.09.2022;14.9
18.09.2022;15.1
17.09.2022;13.9
16.09.2022;14.2
15.09.2022;13.9
14.09.2022;14.4
13.09.2022;15.3
12.09.2022;14.6
11.09.2022;14.9
10.09.2022;15.2
09.09.2022;15.0
08.09.2022;15.2
07.09.2022;15.7
06.09.2022;16.1
05.09.2022;16.2
04.09.2022;16.9
03.09.2022;17.4
02.09.2022;18.0
01.09.2022;18.8
31.08.2022;19.2
30.08.2022;20.3
29.08.2022;21.4
28.08.2022;21.4
27.08.2022;21.1
26.08.2022;20.9
25.08.2022;21.7
24.08.2022;20.4
23.08.2022;20.6
22.08.2022;20.9
21.08.2022;21.1
20.08.2022;22.6
19.08.2022;22.2
18.08.2022;22.4
17.08.2022;22.2
16.08.2022;21.3
15.08.2022;21.5
14.08.2022;20.9
13.08.2022;20.6
12.08.2022;20.5
11.08.2022;20.7
10.08.2022;21.2
09.08.2022;20.2
08.08.2022;19.7
07.08.2022;20.1
06.08.2022;20.8
05.08.2022;20.4
04.08.2022;20.2
03.08.2022;20.6
02.08.2022;19.8
01.08.2022;20.4
31.07.2022;20.0
30.07.2022;20.2
29.07.2022;20.3
28.07.2022;20.7
27.07.2022;21.2
26.07.2022;22.1
25.07.2022;20.9
24.07.2022;21.4
23.07.2022;21.0
22.07.2022;20.9
21.07.2022;19.3
20.07.2022;19.6
19.07.2022;19.8
18.07.2022;19.4
17.07.2022;19.9
16.07.2022;20.2
15.07.2022;20.4
14.07.2022;21.2
12.07.2022;20.1
11.07.2022;19.8
10.07.2022;19.8
09.07.2022;19.9
08.07.2022;19.7
07.07.2022;20.6
06.07.2022;21.4
05.07.2022;23.4
04.07.2022;23.2
03.07.2022;23.3
02.07.2022;23.9
01.07.2022;22.4
30.06.2022;21.5
29.06.2022;20.5
28.06.2022;21.7
27.06.2022;23.1
26.06.2022;21.9
25.06.2022;20.4
24.06.2022;18.8
23.06.2022;18.6
22.06.2022;17.1
21.06.2022;15.7
20.06.2022;16.0
19.06.2022;15.7
18.06.2022;15.7
17.06.2022;15.7
16.06.2022;16.6
15.06.2022;16.4
14.06.2022;17.4
13.06.2022;18.3
12.06.2022;19.4
11.06.2022;17.9
10.06.2022;16.7
09.06.2022;16.2
08.06.2022;17.1
07.06.2022;16.4
06.06.2022;14.9
05.06.2022;14.2
04.06.2022;13.4
03.06.2022;13.0
02.06.2022;12.8
01.06.2022;13.1
31.05.2022;13.4
30.05.2022;14.9
29.05.2022;14.7
28.05.2022;14.2
27.05.2022;13.4
26.05.2022;12.5
25.05.2022;12.3
24.05.2022;13.4
23.05.2022;11.1
22.05.2022;9.8
21.05.2022;9.4
20.05.2022;9.3
19.05.2022;9.4
18.05.2022;8.4
17.05.2022;8.9
16.05.2022;8.6
15.05.2022;8.7
14.05.2022;7.6
13.05.2022;6.7
12.05.2022;6.9
